,0_RfR 0,0_RfR 1,1_RfR 0,1_RfR 1,2_RfR 0,2_RfR 1,3_RfR 0,3_RfR 1,4_RfR 0,4_RfR 1,EWS_DaysToThreat,A.1_DikeIncrease 0,A.1_DikeIncrease 1,A.2_DikeIncrease 0,A.2_DikeIncrease 1,A.3_DikeIncrease 0,A.3_DikeIncrease 1,A.4_DikeIncrease 0,A.4_DikeIncrease 1,A.5_DikeIncrease 0,A.5_DikeIncrease 1,Robustness metric Damage,Robustness metric Dike Costs,Robustness metric RfR Costs,Robustness metric Evacuation Costs,Robustness metric Deaths
1,1,0,0,0,1,1,1,1,0,0,0,6,0,10,0,10,0,9,0,10,0,0.98,0.2807784383711229,0.3884,0.0,0.98
2,0,0,0,0,0,1,0,0,0,0,0,10,1,9,0,10,0,10,0,10,0,0.94,0.35362657504149675,0.0307,0.0,0.94
4,1,1,0,0,1,0,1,1,0,0,0,6,0,9,0,9,0,9,0,10,0,0.97,0.26763907840226026,0.4423,0.0,0.97
8,0,0,0,0,1,1,1,0,0,0,0,9,0,9,0,10,0,9,0,10,0,0.96,0.2957920953484216,0.1826,0.0,0.96
10,0,1,0,0,0,1,1,0,0,0,0,6,0,9,0,9,0,10,0,9,0,0.94,0.2648167115753073,0.2365,0.0,0.94
14,0,0,0,0,1,1,0,0,0,0,0,5,0,8,0,9,0,9,0,9,0,0.82,0.2471170515965056,0.0614,0.0,0.82
15,1,1,0,0,0,1,0,1,0,0,0,6,0,10,0,10,0,10,0,9,0,0.97,0.27795607154417,0.3211,0.0,0.97
16,0,0,0,0,1,1,1,1,0,0,0,9,0,10,0,9,0,10,1,10,4,0.99,0.3595106198268618,0.3038,0.0,0.99
19,1,0,0,0,1,1,1,0,0,0,0,4,0,7,0,8,0,9,0,9,0,0.84,0.22970651906095435,0.2672,0.0,0.84
20,0,0,0,0,0,0,0,1,0,0,0,9,0,10,0,10,0,10,7,10,0,0.96,0.3275226304464809,0.1212,0.0,0.96
22,0,0,0,0,1,1,1,0,0,0,0,10,0,9,0,10,0,10,0,10,0,0.97,0.3078753240281024,0.1826,0.0,0.97
24,0,0,0,0,1,1,1,1,0,0,0,9,0,10,0,10,0,10,0,10,0,0.98,0.3075657445503647,0.3038,0.0,0.98
29,0,0,0,0,1,1,0,0,0,0,0,9,0,9,0,10,0,10,0,10,0,0.94,0.2980323535805067,0.0614,0.0,0.94
30,0,1,0,0,1,1,0,0,0,0,0,5,0,9,0,10,0,10,0,10,0,0.92,0.2667404989772127,0.146,0.0,0.92
33,0,0,0,0,0,0,0,0,0,0,0,9,0,9,0,9,0,10,0,10,0,0.88,0.29442638458150194,0.0,0.0,0.88
37,0,0,0,0,0,0,0,0,0,0,0,6,0,9,0,9,0,10,0,10,0,0.81,0.2698793366343455,0.0,0.0,0.81
40,1,0,0,0,1,1,0,0,0,0,0,4,0,7,0,8,0,9,0,9,0,0.8,0.22970651906095435,0.146,0.0,0.8
44,1,1,0,0,1,1,1,0,0,0,0,0,0,8,0,9,0,9,0,10,0,0.78,0.19820717046858616,0.3518,0.0,0.78
45,1,1,1,0,1,1,0,1,0,0,0,0,0,8,0,9,0,10,0,9,0,0.85,0.1953848036416332,0.5696,0.0,0.85
58,1,1,1,0,0,1,1,1,0,0,0,0,0,8,0,9,0,10,0,9,0,0.88,0.1953848036416332,0.6601,0.0,0.88
64,0,1,0,0,1,1,0,0,0,0,0,4,0,7,0,8,0,10,0,10,0,0.83,0.2370094023520775,0.146,0.0,0.83
66,1,1,1,1,1,1,1,1,0,0,0,0,0,8,0,9,0,10,0,9,0,0.92,0.1953848036416332,0.9086,0.0,0.92
68,1,1,1,1,1,1,1,1,0,0,0,0,0,7,0,9,0,10,0,9,0,0.88,0.18742284280160296,0.9086,0.0,0.88
77,1,1,1,0,1,1,1,1,0,0,0,2,0,8,0,9,0,9,0,9,0,0.94,0.2303997486466501,0.6908,0.0,0.94
80,0,0,0,0,0,1,0,0,0,0,0,8,0,8,0,9,0,10,0,10,0,0.88,0.2767465168194929,0.0307,0.0,0.88
81,1,1,0,1,1,1,1,1,0,0,0,4,0,8,0,9,0,9,0,10,0,0.96,0.2460551184300405,0.6908,0.0,0.96
84,1,1,1,0,1,1,1,1,0,0,0,2,0,8,0,8,0,10,0,9,0,0.92,0.2293159934087176,0.6908,0.0,0.92
86,1,1,1,1,0,1,1,1,0,0,0,0,0,8,0,9,0,10,0,9,0,0.9,0.1953848036416332,0.8779,0.0,0.9
92,1,1,0,0,1,1,0,1,0,0,0,4,0,8,0,8,0,9,0,9,0,0.91,0.23766847990098466,0.3518,0.0,0.91
