,0_RfR 0,0_RfR 1,1_RfR 0,1_RfR 1,2_RfR 0,2_RfR 1,3_RfR 0,3_RfR 1,4_RfR 0,4_RfR 1,EWS_DaysToThreat,A.1_DikeIncrease 0,A.1_DikeIncrease 1,A.2_DikeIncrease 0,A.2_DikeIncrease 1,A.3_DikeIncrease 0,A.3_DikeIncrease 1,A.4_DikeIncrease 0,A.4_DikeIncrease 1,A.5_DikeIncrease 0,A.5_DikeIncrease 1,Robustness metric Damage,Robustness metric Dike Costs,Robustness metric RfR Costs,Robustness metric Evacuation Costs,Robustness metric Deaths
0,0,0,0,0,1,0,1,1,0,0,3,10,1,9,1,10,0,9,0,10,4,0.97,0.4498417832927786,0.2731,8.488763339662971e-09,0.98
1,1,0,0,0,1,1,1,1,0,0,0,6,0,10,0,10,0,9,0,10,0,0.98,0.2807784383711229,0.3884,0.0,0.98
2,0,0,0,0,0,1,0,0,0,0,0,10,1,9,0,10,0,10,0,10,0,0.94,0.35362657504149675,0.0307,0.0,0.94
3,0,0,0,0,0,1,0,0,0,0,1,6,0,9,0,9,0,9,0,10,0,0.87,0.26763907840226026,0.0307,1.9519447155879413e-07,0.87
4,1,1,0,0,1,0,1,1,0,0,0,6,0,9,0,9,0,9,0,10,0,0.97,0.26763907840226026,0.4423,0.0,0.97
5,1,0,0,0,1,1,0,1,0,0,1,6,0,8,0,10,0,10,0,10,0,0.95,0.26477071054277085,0.2672,2.4565426038959438e-08,0.95
6,0,0,0,0,0,1,0,0,0,0,1,9,0,9,0,10,0,10,0,10,0,0.93,0.2980323535805067,0.0307,1.801802694373704e-08,0.93
7,0,0,0,0,1,1,0,0,0,0,3,7,0,9,0,9,0,10,0,10,0,0.93,0.2773010267473025,0.0614,1.0887524319477386e-07,0.93
8,0,0,0,0,1,1,1,0,0,0,0,9,0,9,0,10,0,9,0,10,0,0.96,0.2957920953484216,0.1826,0.0,0.96
9,0,1,0,0,1,1,1,0,0,0,3,5,0,7,0,9,0,9,0,9,0,0.87,0.23915509075647556,0.2672,2.715249882905111e-07,0.87
10,0,1,0,0,0,1,1,0,0,0,0,6,0,9,0,9,0,10,0,9,0,0.94,0.2648167115753073,0.2365,0.0,0.94
11,0,0,0,0,0,1,1,0,0,0,1,10,0,9,0,9,0,10,0,10,0,0.96,0.30426935502909763,0.1519,1.5131068948610723e-08,0.96
12,1,1,1,0,1,1,0,1,0,0,1,4,0,9,0,9,0,10,0,10,0,0.97,0.2570099717527047,0.5696,8.157285368243358e-09,0.97
13,1,1,0,0,1,1,1,1,0,0,1,5,0,8,0,10,0,10,0,9,0,0.96,0.2529632788275955,0.473,1.540922041542525e-08,0.96
14,0,0,0,0,1,1,0,0,0,0,0,5,0,8,0,9,0,9,0,9,0,0.82,0.2471170515965056,0.0614,0.0,0.82
15,1,1,0,0,0,1,0,1,0,0,0,6,0,10,0,10,0,10,0,9,0,0.97,0.27795607154417,0.3211,0.0,0.97
16,0,0,0,0,1,1,1,1,0,0,0,9,0,10,0,9,0,10,1,10,4,0.99,0.3595106198268618,0.3038,0.0,0.99
17,1,1,1,0,1,1,1,0,0,0,2,2,0,7,0,8,0,9,0,9,0,0.88,0.21911377433660215,0.5696,8.909745713849857e-08,0.89
18,1,1,0,0,1,1,0,0,0,0,2,2,0,7,0,8,0,9,0,9,0,0.79,0.21911377433660215,0.2306,3.086335842330181e-07,0.79
19,1,0,0,0,1,1,1,0,0,0,0,4,0,7,0,8,0,9,0,9,0,0.84,0.22970651906095435,0.2672,0.0,0.84
20,0,0,0,0,0,0,0,1,0,0,0,9,0,10,0,10,0,10,7,10,0,0.96,0.3275226304464809,0.1212,0.0,0.96
21,1,1,1,1,1,1,1,1,1,1,3,0,0,8,0,9,0,10,0,10,0,0.94,0.2004474287006714,1.4208,6.811142567918416e-08,0.94
22,0,0,0,0,1,1,1,0,0,0,0,10,0,9,0,10,0,10,0,10,0,0.97,0.3078753240281024,0.1826,0.0,0.97
23,1,1,0,0,1,1,1,1,0,0,1,3,0,7,0,10,0,9,0,10,0,0.92,0.2361426842819369,0.473,7.577983620588485e-08,0.92
24,0,0,0,0,1,1,1,1,0,0,0,9,0,10,0,10,0,10,0,10,0,0.98,0.3075657445503647,0.3038,0.0,0.98
25,0,0,0,0,0,0,0,0,0,0,2,9,0,10,0,10,0,10,0,10,0,0.9,0.3075657445503647,0.0,4.1870978156296244e-08,0.9
26,1,0,0,0,0,1,0,0,0,0,3,4,0,8,0,9,0,10,0,9,0,0.84,0.2432327516030875,0.1153,4.201075542433235e-07,0.84
27,1,1,0,0,0,1,0,1,0,0,3,4,0,8,0,9,0,10,0,8,0,0.89,0.2385824505833972,0.3211,9.08354467151242e-08,0.89
