A.0_ID flood wave shape,A.1_Bmax,A.1_Brate,A.1_pfail,A.2_Bmax,A.2_Brate,A.2_pfail,A.3_Bmax,A.3_Brate,A.3_pfail,A.4_Bmax,A.4_Brate,A.4_pfail,A.5_Bmax,A.5_Brate,A.5_pfail,discount rate 0,discount rate 1,0_RfR 0,0_RfR 1,1_RfR 0,1_RfR 1,2_RfR 0,2_RfR 1,3_RfR 0,3_RfR 1,4_RfR 0,4_RfR 1,EWS_DaysToThreat,A.1_DikeIncrease 0,A.1_DikeIncrease 1,A.2_DikeIncrease 0,A.2_DikeIncrease 1,A.3_DikeIncrease 0,A.3_DikeIncrease 1,A.4_DikeIncrease 0,A.4_DikeIncrease 1,A.5_DikeIncrease 0,A.5_DikeIncrease 1,scenario,policy,model,Expected Annual Damage,Dike Investment Costs,RfR Investment Costs,Evacuation Costs,Expected Number of Deaths
29.0,60.9375,1.5,0.6767578125,119.6875,1.5,0.0458984375,317.8125,1.5,0.0693359375,57.1875,1.0,0.1611328125,152.8125,1.0,0.3701171875,3.5,2.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,Policy 0,dikesnet,1778907175.7648125,0,0.0,0.0,2.3276417113440644
130.0,60.9375,1.5,0.6767578125,119.6875,1.5,0.0458984375,317.8125,1.5,0.0693359375,57.1875,1.0,0.1611328125,152.8125,1.0,0.3701171875,3.5,2.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,Policy 0,dikesnet,1738407028.3759634,0,0.0,0.0,2.296093668093644
29.0,262.1875,1.5,0.6767578125,119.6875,1.5,0.0458984375,317.8125,1.5,0.0693359375,57.1875,1.0,0.1611328125,152.8125,1.0,0.3701171875,3.5,2.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,Policy 0,dikesnet,1778907175.7648125,0,0.0,0.0,2.3276417113440644
29.0,60.9375,1.5,0.6767578125,119.6875,1.5,0.0458984375,317.8125,1.5,0.0693359375,57.1875,1.0,0.1611328125,152.8125,1.0,0.3701171875,3.5,2.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,Policy 0,dikesnet,1778907175.7648125,0,0.0,0.0,2.3276417113440644
29.0,60.9375,1.5,0.5498046875,119.6875,1.5,0.0458984375,317.8125,1.5,0.0693359375,57.1875,1.0,0.1611328125,152.8125,1.0,0.3701171875,3.5,2.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,Policy 0,dikesnet,1842977892.1922696,0,0.0,0.0,2.370723800180558
29.0,60.9375,1.5,0.6767578125,334.0625,1.5,0.0458984375,317.8125,1.5,0.0693359375,57.1875,1.0,0.1611328125,152.8125,1.0,0.3701171875,3.5,2.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,Policy 0,dikesnet,1778437510.6566188,0,0.0,0.0,2.3264805503661723
29.0,60.9375,1.5,0.6767578125,119.6875,1.5,0.0458984375,317.8125,1.5,0.0693359375,57.1875,1.0,0.1611328125,152.8125,1.0,0.3701171875,3.5,2.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6,Policy 0,dikesnet,1778907175.7648125,0,0.0,0.0,2.3276417113440644
29.0,60.9375,1.5,0.6767578125,119.6875,1.5,0.5830078125,317.8125,1.5,0.0693359375,57.1875,1.0,0.1611328125,152.8125,1.0,0.3701171875,3.5,2.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7,Policy 0,dikesnet,1293554595.8559284,0,0.0,0.0,2.057864223289638
29.0,60.9375,1.5,0.6767578125,119.6875,1.5,0.0458984375,320.3125,1.5,0.0693359375,57.1875,1.0,0.1611328125,152.8125,1.0,0.3701171875,3.5,2.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8,Policy 0,dikesnet,1778907175.7648125,0,0.0,0.0,2.3276417113440644
29.0,60.9375,1.5,0.6767578125,119.6875,1.5,0.0458984375,317.8125,1.0,0.0693359375,57.1875,1.0,0.1611328125,152.8125,1.0,0.3701171875,3.5,2.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9,Policy 0,dikesnet,1778907175.7648125,0,0.0,0.0,2.3276417113440644
29.0,60.9375,1.5,0.6767578125,119.6875,1.5,0.0458984375,317.8125,1.5,0.9794921875,57.1875,1.0,0.1611328125,152.8125,1.0,0.3701171875,3.5,2.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10,Policy 0,dikesnet,635279521.0228752,0,0.0,0.0,0.5221181832480258
29.0,60.9375,1.5,0.6767578125,119.6875,1.5,0.0458984375,317.8125,1.5,0.0693359375,49.0625,1.0,0.1611328125,152.8125,1.0,0.3701171875,3.5,2.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11,Policy 0,dikesnet,1778907175.7648125,0,0.0,0.0,2.3276417113440644
29.0,60.9375,1.5,0.6767578125,119.6875,1.5,0.0458984375,317.8125,1.5,0.0693359375,57.1875,1.0,0.1611328125,152.8125,1.0,0.3701171875,3.5,2.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12,Policy 0,dikesnet,1778907175.7648125,0,0.0,0.0,2.3276417113440644
29.0,60.9375,1.5,0.6767578125,119.6875,1.5,0.0458984375,317.8125,1.5,0.0693359375,57.1875,1.0,0.1474609375,152.8125,1.0,0.3701171875,3.5,2.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13,Policy 0,dikesnet,1778907175.7648125,0,0.0,0.0,2.3276417113440644
29.0,60.9375,1.5,0.6767578125,119.6875,1.5,0.0458984375,317.8125,1.5,0.0693359375,57.1875,1.0,0.1611328125,76.5625,1.0,0.3701171875,3.5,2.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14,Policy 0,dikesnet,1778907175.7648125,0,0.0,0.0,2.3276417113440644
29.0,60.9375,1.5,0.6767578125,119.6875,1.5,0.0458984375,317.8125,1.5,0.0693359375,57.1875,1.0,0.1611328125,152.8125,1.0,0.3701171875,3.5,2.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15,Policy 0,dikesnet,1778907175.7648125,0,0.0,0.0,2.3276417113440644
29.0,60.9375,1.5,0.6767578125,119.6875,1.5,0.0458984375,317.8125,1.5,0.0693359375,57.1875,1.0,0.1611328125,152.8125,1.0,0.5927734375,3.5,2.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16,Policy 0,dikesnet,1778907175.7648125,0,0.0,0.0,2.3276417113440644
29.0,60.9375,1.5,0.6767578125,119.6875,1.5,0.0458984375,317.8125,1.5,0.0693359375,57.1875,1.0,0.1611328125,152.8125,1.0,0.3701171875,3.5,2.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17,Policy 0,dikesnet,1778907175.7648125,0,0.0,0.0,2.3276417113440644
29.0,60.9375,1.5,0.6767578125,119.6875,1.5,0.0458984375,317.8125,1.5,0.0693359375,57.1875,1.0,0.1611328125,152.8125,1.0,0.3701171875,3.5,3.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18,Policy 0,dikesnet,1530941153.180286,0,0.0,0.0,2.3276417113440644
29.0,262.1875,1.5,0.5498046875,334.0625,1.5,0.5830078125,320.3125,1.0,0.9794921875,49.0625,1.0,0.1474609375,76.5625,1.0,0.5927734375,3.5,3.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19,Policy 0,dikesnet,177648041.2785826,0,0.0,0.0,0.12935187633923342
130.0,60.9375,1.5,0.5498046875,334.0625,1.5,0.5830078125,320.3125,1.0,0.9794921875,49.0625,1.0,0.1474609375,76.5625,1.0,0.5927734375,3.5,3.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20,Policy 0,dikesnet,136418738.55101392,0,0.0,0.0,0.10078579040590825
130.0,262.1875,1.5,0.5498046875,334.0625,1.5,0.5830078125,320.3125,1.0,0.9794921875,49.0625,1.0,0.1474609375,76.5625,1.0,0.5927734375,3.5,3.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21,Policy 0,dikesnet,136418738.55101392,0,0.0,0.0,0.10078579040590825
130.0,262.1875,1.5,0.6767578125,334.0625,1.5,0.5830078125,320.3125,1.0,0.9794921875,49.0625,1.0,0.1474609375,76.5625,1.0,0.5927734375,3.5,3.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22,Policy 0,dikesnet,79523776.07179871,0,0.0,0.0,0.055937391554762336
130.0,262.1875,1.5,0.5498046875,119.6875,1.5,0.5830078125,320.3125,1.0,0.9794921875,49.0625,1.0,0.1474609375,76.5625,1.0,0.5927734375,3.5,3.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23,Policy 0,dikesnet,136418738.55101392,0,0.0,0.0,0.10078579040590825
