A.0_ID flood wave shape,A.1_Bmax,A.1_Brate,A.1_pfail,A.2_Bmax,A.2_Brate,A.2_pfail,A.3_Bmax,A.3_Brate,A.3_pfail,A.4_Bmax,A.4_Brate,A.4_pfail,A.5_Bmax,A.5_Brate,A.5_pfail,discount rate 0,discount rate 1,discount rate 2,0_RfR 0,0_RfR 1,0_RfR 2,1_RfR 0,1_RfR 1,1_RfR 2,2_RfR 0,2_RfR 1,2_RfR 2,3_RfR 0,3_RfR 1,3_RfR 2,4_RfR 0,4_RfR 1,4_RfR 2,EWS_DaysToThreat,A.1_DikeIncrease 0,A.1_DikeIncrease 1,A.1_DikeIncrease 2,A.2_DikeIncrease 0,A.2_DikeIncrease 1,A.2_DikeIncrease 2,A.3_DikeIncrease 0,A.3_DikeIncrease 1,A.3_DikeIncrease 2,A.4_DikeIncrease 0,A.4_DikeIncrease 1,A.4_DikeIncrease 2,A.5_DikeIncrease 0,A.5_DikeIncrease 1,A.5_DikeIncrease 2,scenario,policy,model,Expected Annual Damage,Dike Investment Costs,RfR Investment Costs,Evacuation Costs,Expected Number of Deaths
100.0,323.14236578092556,10,0.02338576979157412,77.74693047671462,1.5,0.7682037266766375,307.2187083650173,10,0.7362314786750348,90.12463933455669,10,0.7045315772560218,258.22613598952387,1.0,0.9961262761466034,1.5,1.5,2.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,1.0,6.0,6.0,4.0,4.0,6.0,6.0,9.0,5.0,9.0,1.0,3.0,9.0,9.0,10,policy_dikeheighten0,dikesnet,5036852.59910567,736759184.0639018,0.0,0.0,0.0027394674608612404
15.0,78.72095670883908,1.0,0.1706536705948269,256.28487869152707,1.0,0.6255716176971242,73.72709847841631,1.5,0.7351894659713536,119.74502836066684,10,0.8156045936911834,303.0723641866947,10,0.8658405342930243,2.5,2.5,3.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,1.0,6.0,6.0,4.0,4.0,6.0,6.0,9.0,5.0,9.0,1.0,3.0,9.0,9.0,11,policy_dikeheighten0,dikesnet,0.0,736759184.0639018,0.0,0.0,0.0
67.0,49.370141586078496,10,0.026970496414885657,71.35054024384173,10,0.7193723929092576,333.6188560013103,1.0,0.8859878298344966,346.52953234861803,1.0,0.8208354067273445,202.83384063530465,10,0.1518590436231512,3.5,3.5,3.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,1.0,6.0,6.0,4.0,4.0,6.0,6.0,9.0,5.0,9.0,1.0,3.0,9.0,9.0,12,policy_dikeheighten0,dikesnet,44446270.74056494,736759184.0639018,0.0,0.0,0.049164431000809056
84.0,130.19258739221874,1.5,0.929989553103579,52.96253578877343,1.5,0.44850584450923775,80.51154760714553,10,0.4021861744743841,277.18166463341527,10,0.5053627183255743,103.91827145975263,1.5,0.37200191700349616,2.5,3.5,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,1.0,6.0,6.0,4.0,4.0,6.0,6.0,9.0,5.0,9.0,1.0,3.0,9.0,9.0,13,policy_dikeheighten0,dikesnet,17363189.617930662,736759184.0639018,0.0,0.0,0.015696301346552925
72.0,273.4748134215207,10,0.4131117425393177,202.29962221150225,1.5,0.9527641019100066,346.6323742407935,10,0.4263512037911487,132.8594197837456,10,0.9497712816374347,218.82186845019274,1.0,0.6352066499081254,4.5,4.5,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,1.0,6.0,6.0,4.0,4.0,6.0,6.0,9.0,5.0,9.0,1.0,3.0,9.0,9.0,14,policy_dikeheighten0,dikesnet,3670504.9806363476,736759184.0639018,0.0,0.0,0.005117901149620181
49.0,160.54432776552125,1.0,0.3572559640228239,33.26775470275193,10,0.2670765342975144,196.15239183297814,1.5,0.7447936726578483,255.91288052701586,1.5,0.97376424131633,48.78783901455694,1.5,0.7512995543402656,1.5,1.5,2.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,1.0,6.0,6.0,4.0,4.0,6.0,6.0,9.0,5.0,9.0,1.0,3.0,9.0,9.0,15,policy_dikeheighten0,dikesnet,0.0,736759184.0639018,0.0,0.0,0.0
101.0,202.37773156311292,1.0,0.17192098298689004,108.75103351620137,1.5,0.8694705104833792,80.63695004755292,10,0.8137597430197603,266.07048520782143,10,0.9850047305910387,330.8018467127353,1.0,0.14716210679296615,1.5,3.5,3.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,1.0,6.0,6.0,4.0,4.0,6.0,6.0,9.0,5.0,9.0,1.0,3.0,9.0,9.0,16,policy_dikeheighten0,dikesnet,74967420.75085747,736759184.0639018,0.0,0.0,0.0516381042772906
38.0,103.93194050642558,1.0,0.19375152867668968,156.44655023385133,10,0.2908592901779527,189.44109492544533,1.0,0.9056372312117454,292.36194587237884,1.0,0.15014864350976265,112.81911431755157,1.5,0.5906498748932548,4.5,2.5,3.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,1.0,6.0,6.0,4.0,4.0,6.0,6.0,9.0,5.0,9.0,1.0,3.0,9.0,9.0,17,policy_dikeheighten0,dikesnet,390514.9278093805,736759184.0639018,0.0,0.0,0.0003361017210792769
24.0,34.80964631800734,1.0,0.5219436237921741,45.124197582956775,1.0,0.686664316573805,336.06656692638813,1.0,0.07630770043108344,329.8061721494476,10,0.44976264086797085,300.91352119041676,1.0,0.7692879811996128,4.5,3.5,2.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,1.0,6.0,6.0,4.0,4.0,6.0,6.0,9.0,5.0,9.0,1.0,3.0,9.0,9.0,18,policy_dikeheighten0,dikesnet,19849491.577598386,736759184.0639018,0.0,0.0,0.05409102510108045
83.0,76.13615118720305,1.5,0.8428178438524364,281.58824738140794,10,0.5145497252851218,243.0494818920565,1.0,0.639442480518757,289.12378356369624,1.5,0.25365421130753874,30.714846488262957,1.5,0.12619905765168804,2.5,2.5,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,1.0,6.0,6.0,4.0,4.0,6.0,6.0,9.0,5.0,9.0,1.0,3.0,9.0,9.0,19,policy_dikeheighten0,dikesnet,58762516.34280912,736759184.0639018,0.0,0.0,0.05242827867138328
115.0,57.8095850932464,1.5,0.16354548378903414,101.40235563665593,1.5,0.9696801834610138,302.1297862644245,10,0.3254010313984714,165.11250860862876,1.5,0.49902446904272146,120.70072573667902,10,0.22025078642229662,1.5,1.5,3.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,1.0,6.0,6.0,4.0,4.0,6.0,6.0,9.0,5.0,9.0,1.0,3.0,9.0,9.0,20,policy_dikeheighten0,dikesnet,46754019.065995336,736759184.0639018,0.0,0.0,0.03233395267248986
33.0,196.7225006569323,1.5,0.5067651523975133,250.09907348385227,1.0,0.6784994666779511,47.84682083699372,1.5,0.8693845040533018,130.78478104000757,10,0.029167870892245484,215.43740899920442,1.0,0.8611616251305171,4.5,1.5,4.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,1.0,6.0,6.0,4.0,4.0,6.0,6.0,9.0,5.0,9.0,1.0,3.0,9.0,9.0,21,policy_dikeheighten0,dikesnet,12679601.459530344,736759184.0639018,0.0,0.0,0.009256285578041633
2.0,163.61328064196806,1.5,0.737645279956669,205.5904085901838,1.0,0.11719556979601173,69.0274015992053,1.5,0.904656337852152,138.15175617409358,10,0.1097168600816061,227.4555410590831,10,0.5653885957757377,1.5,4.5,4.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,1.0,6.0,6.0,4.0,4.0,6.0,6.0,9.0,5.0,9.0,1.0,3.0,9.0,9.0,22,policy_dikeheighten0,dikesnet,8987460.877158046,736759184.0639018,0.0,0.0,0.005549688004143084
71.0,38.88155265099862,10,0.9639613165997323,283.918609295992,1.0,0.49679156537348546,91.58280418078118,1.5,0.18597973602703846,246.87607255163732,1.5,0.3498745314752735,200.4531400481805,1.5,0.4984957714429422,3.5,1.5,3.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,1.0,6.0,6.0,4.0,4.0,6.0,6.0,9.0,5.0,9.0,1.0,3.0,9.0,9.0,23,policy_dikeheighten0,dikesnet,10471691.042766126,736759184.0639018,0.0,0.0,0.013752899740403196
73.0,93.38468617599125,1.0,0.6562606569826125,304.66970511282017,1.5,0.006131818287408892,70.4051411794585,1.0,0.2771201384391167,315.4516482887321,1.0,0.37339439745766984,150.48150340925298,1.5,0.8070129073280956,2.5,4.5,2.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,1.0,6.0,6.0,4.0,4.0,6.0,6.0,9.0,5.0,9.0,1.0,3.0,9.0,9.0,24,policy_dikeheighten0,dikesnet,74317312.92298445,736759184.0639018,0.0,0.0,0.06774437596860307
102.0,349.7179149500271,1.5,0.5334988709700705,280.6340750847053,10,0.7655622432930334,155.77749464583965,1.0,0.7347547878845444,266.6578078164525,1.5,0.32004817143264547,107.74601143242583,1.0,0.09351613037342514,4.5,3.5,3.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,1.0,6.0,6.0,4.0,4.0,6.0,6.0,9.0,5.0,9.0,1.0,3.0,9.0,9.0,25,policy_dikeheighten0,dikesnet,42290443.15064656,736759184.0639018,0.0,0.0,0.05745709645457436
49.0,183.05171406159775,1.5,0.03013313031254012,123.60527667626776,10,0.6730844071485667,334.9002043038296,10,0.2579387812300228,110.27577082238503,1.5,0.7019538432676959,67.33598968973868,1.5,0.3578668688927984,2.5,1.5,3.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,1.0,6.0,6.0,4.0,4.0,6.0,6.0,9.0,5.0,9.0,1.0,3.0,9.0,9.0,26,policy_dikeheighten0,dikesnet,10230483.387936588,736759184.0639018,0.0,0.0,0.00924157902801626
99.0,34.9536202223582,10,0.35293224388245226,206.41589287995197,10,0.2214746311088508,343.0838278611205,1.0,0.38267920681095335,118.1183177535076,10,0.44141157978061035,43.59080251438006,1.0,0.1560692572916428,2.5,4.5,4.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,1.0,6.0,6.0,4.0,4.0,6.0,6.0,9.0,5.0,9.0,1.0,3.0,9.0,9.0,27,policy_dikeheighten0,dikesnet,59660955.05075833,736759184.0639018,0.0,0.0,0.0534182688953597
3.0,284.2059534761677,10,0.34750243254472396,266.95705864341335,1.0,0.8067455022810817,310.4819982067314,10,0.7507410827311047,333.23600067355716,10,0.306596317085741,56.0011684320565,1.0,0.395354162757514,3.5,1.5,3.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,1.0,6.0,6.0,4.0,4.0,6.0,6.0,9.0,5.0,9.0,1.0,3.0,9.0,9.0,28,policy_dikeheighten0,dikesnet,14377089.009161126,736759184.0639018,0.0,0.0,0.01635038616897113
53.0,319.8331854283333,10,0.5065802640555332,334.6328180799783,1.5,0.42154095760747406,33.79166245745497,10,0.4777710069989994,199.24868669107195,1.0,0.11940764336762622,240.52868442777495,10,0.8565122380468134,2.5,1.5,2.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,1.0,6.0,6.0,4.0,4.0,6.0,6.0,9.0,5.0,9.0,1.0,3.0,9.0,9.0,29,policy_dikeheighten0,dikesnet,2132567.312931846,736759184.0639018,0.0,0.0,0.0012040450562018125
72.0,116.22281174861358,1.0,0.861684018613845,290.8163797185906,1.0,0.7032581484507067,241.2493959929361,1.5,0.5564657518559383,205.99018453445825,1.5,0.7631221441836008,168.01881252435768,1.5,0.604498398933921,4.5,4.5,4.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,1.0,6.0,6.0,4.0,4.0,6.0,6.0,9.0,5.0,9.0,1.0,3.0,9.0,9.0,30,policy_dikeheighten0,dikesnet,7459042.301105827,736759184.0639018,0.0,0.0,0.010380040704115905
11.0,90.79298328125151,10,0.9503675261766411,196.54380220582203,1.5,0.41994810471816896,99.3935295450312,1.0,0.10843083157475215,254.66711681804867,10,0.9086646281226478,158.25238199899067,10,0.03973467665761365,4.5,4.5,4.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,1.0,6.0,6.0,4.0,4.0,6.0,6.0,9.0,5.0,9.0,1.0,3.0,9.0,9.0,31,policy_dikeheighten0,dikesnet,95352087.0472427,736759184.0639018,0.0,0.0,0.13437108300776507
94.0,143.49752851715658,1.0,0.6141359972473792,123.67986925622857,1.5,0.5255206521814704,179.70826499823576,1.0,0.8462030758750847,258.87071970981833,1.0,0.33632589239738503,52.94922683342868,1.0,0.32873056891342717,3.5,4.5,2.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,1.0,6.0,6.0,4.0,4.0,6.0,6.0,9.0,5.0,9.0,1.0,3.0,9.0,9.0,32,policy_dikeheighten0,dikesnet,7973657.504122779,736759184.0639018,0.0,0.0,0.009029452386906028
56.0,195.91406499282255,1.5,0.5328442309278343,36.98820929679104,1.0,0.9327762593573382,239.04626421628967,1.0,0.23637307109953593,31.908479034739248,10,0.10377732207121627,87.39540832010998,1.0,0.10079588606260603,3.5,3.5,3.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,1.0,6.0,6.0,4.0,4.0,6.0,6.0,9.0,5.0,9.0,1.0,3.0,9.0,9.0,33,policy_dikeheighten0,dikesnet,63962228.6869648,736759184.0639018,0.0,0.0,0.07073680437506906
4.0,189.20212331556866,1.0,0.5467114031290201,205.94869941762255,10,0.21493572939172276,300.7559373487164,10,0.2201633812582112,68.56589874492984,1.0,0.2530632972101735,181.64664073446602,1.5,0.3193610149724994,3.5,2.5,2.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,1.0,6.0,6.0,4.0,4.0,6.0,6.0,9.0,5.0,9.0,1.0,3.0,9.0,9.0,34,policy_dikeheighten0,dikesnet,13718600.215694563,736759184.0639018,0.0,0.0,0.015559355786162962
97.0,301.2155667081561,1.5,0.9173048357295193,158.46086448406692,1.0,0.6836601613069471,282.51790579465194,1.0,0.6053636918743235,169.49667781000014,1.0,0.9944065948243661,102.12018581452662,1.5,0.22251562095538757,4.5,1.5,3.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,1.0,6.0,6.0,4.0,4.0,6.0,6.0,9.0,5.0,9.0,1.0,3.0,9.0,9.0,35,policy_dikeheighten0,dikesnet,24584913.44450028,736759184.0639018,0.0,0.0,0.03385799959957744
74.0,134.5284030841608,1.5,0.6767158494201558,126.78177560799226,1.0,0.046931254514376755,299.68038922943606,1.0,0.22440695632666657,113.00397764604277,10,0.8185772671780729,128.8305691722286,1.0,0.4741950167294634,1.5,2.5,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,1.0,6.0,6.0,4.0,4.0,6.0,6.0,9.0,5.0,9.0,1.0,3.0,9.0,9.0,36,policy_dikeheighten0,dikesnet,20500667.560116444,736759184.0639018,0.0,0.0,0.014889188510817896
23.0,178.7699375630162,1.5,0.76379261458124,231.02688799990915,10,0.7690103618218587,287.9452426041286,1.0,0.017954358687316572,274.14565909951244,1.0,0.9279223248620048,211.71966907398414,1.0,0.8470400535951351,4.5,2.5,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,1.0,6.0,6.0,4.0,4.0,6.0,6.0,9.0,5.0,9.0,1.0,3.0,9.0,9.0,37,policy_dikeheighten0,dikesnet,40469475.20054905,736759184.0639018,0.0,0.0,0.10842784383496021
34.0,220.28359784280963,1.0,0.18444099680822615,178.46571624796522,10,0.27271866790075033,194.6473100224391,1.5,0.5406800739983165,231.8454461197387,10,0.01833968573318808,328.125836176901,1.5,0.4787108232200434,3.5,3.5,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,1.0,6.0,6.0,4.0,4.0,6.0,6.0,9.0,5.0,9.0,1.0,3.0,9.0,9.0,38,policy_dikeheighten0,dikesnet,18514061.26777505,736759184.0639018,0.0,0.0,0.010804810520620921
33.0,344.5106598651478,1.5,0.9318226485461646,173.54531743696865,1.5,0.0696376219082088,255.85865865375405,1.5,0.6775913152518512,203.58180322560065,1.5,0.6448278007464853,79.91195910613143,10,0.16697241226718443,2.5,4.5,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,1.0,6.0,6.0,4.0,4.0,6.0,6.0,9.0,5.0,9.0,1.0,3.0,9.0,9.0,39,policy_dikeheighten0,dikesnet,64897627.193545796,736759184.0639018,0.0,0.0,0.05855412442629343
129.0,134.27077179710784,1.0,0.8590476721222455,215.57894247210794,10,0.01997416272635247,339.6289896214652,10,0.9233633713613496,222.41278621690012,1.5,0.3286256596528916,39.44919542363233,10,0.8733077536596326,2.5,2.5,4.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,1.0,6.0,6.0,4.0,4.0,6.0,6.0,9.0,5.0,9.0,1.0,3.0,9.0,9.0,40,policy_dikeheighten0,dikesnet,15488964.930124989,736759184.0639018,0.0,0.0,0.014313645929676997
109.0,177.5412916448185,1.0,0.36509647797876116,305.34635321179326,1.5,0.7270585302313974,173.13286287875547,1.5,0.5028169118181828,52.945964815419245,1.5,0.4585103438901983,301.54996424574176,1.0,0.4384623661210579,4.5,2.5,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,1.0,6.0,6.0,4.0,4.0,6.0,6.0,9.0,5.0,9.0,1.0,3.0,9.0,9.0,41,policy_dikeheighten0,dikesnet,7057923.727346904,736759184.0639018,0.0,0.0,0.009792310664569192
85.0,68.42464922557227,1.0,0.20306648015945636,348.7667806109839,1.0,0.5208218510141701,343.6395079391947,1.5,0.1608479167888006,172.15213061296143,1.0,0.3556493267495002,167.39306839893482,1.0,0.6248465724312009,1.5,3.5,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,1.0,6.0,6.0,4.0,4.0,6.0,6.0,9.0,5.0,9.0,1.0,3.0,9.0,9.0,42,policy_dikeheighten0,dikesnet,7482788.884282894,736759184.0639018,0.0,0.0,0.008556290714604446
19.0,148.74433975227856,1.5,0.38298947831469654,145.46587459331732,1.5,0.9634396953481748,139.47009290362718,1.0,0.47306575932007744,289.63183110616393,1.0,0.3135989937662533,213.71636708973878,10,0.6655871463065703,3.5,1.5,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,1.0,6.0,6.0,4.0,4.0,6.0,6.0,9.0,5.0,9.0,1.0,3.0,9.0,9.0,43,policy_dikeheighten0,dikesnet,2470972.290062094,736759184.0639018,0.0,0.0,0.0028277419736403913
99.0,40.49803781683689,10,0.18639466795743642,316.04207388622984,10,0.605253238729579,231.79785403686827,1.5,0.11811719440318313,68.86884382644169,1.5,0.0017663046416499842,262.7427707719477,1.0,0.882777920152327,3.5,1.5,2.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,1.0,6.0,6.0,4.0,4.0,6.0,6.0,9.0,5.0,9.0,1.0,3.0,9.0,9.0,44,policy_dikeheighten0,dikesnet,52483485.24460066,736759184.0639018,0.0,0.0,0.03854234011938618
97.0,220.9986188899502,1.5,0.28650631507560126,95.1923343240421,1.0,0.779929008739724,132.04159728968727,1.0,0.4258683959640655,234.35119425874768,1.0,0.5703657454879048,116.27226604253948,10,0.5885488937756908,3.5,4.5,2.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,1.0,6.0,6.0,4.0,4.0,6.0,6.0,9.0,5.0,9.0,1.0,3.0,9.0,9.0,45,policy_dikeheighten0,dikesnet,4387716.760669841,736759184.0639018,0.0,0.0,0.005010658451553627
112.0,335.7175363316818,1.0,0.8665106146916854,292.21415286585943,1.5,0.28049416209372197,160.7163037495113,1.0,0.470802692700966,55.74569210271343,10,0.7715841587251454,294.0332029928644,1.5,0.940578029974645,2.5,4.5,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,1.0,6.0,6.0,4.0,4.0,6.0,6.0,9.0,5.0,9.0,1.0,3.0,9.0,9.0,46,policy_dikeheighten0,dikesnet,976460.1356840023,736759184.0639018,0.0,0.0,0.0008950476880777797
95.0,333.05552635594887,1.0,0.10790198606448408,84.35751561319913,1.0,0.43667236861506376,285.9816867336731,1.0,0.8475111518930626,71.39921907924963,1.5,0.19972506902592826,184.65442257726812,1.0,0.4204269131819257,2.5,1.5,4.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,1.0,6.0,6.0,4.0,4.0,6.0,6.0,9.0,5.0,9.0,1.0,3.0,9.0,9.0,47,policy_dikeheighten0,dikesnet,10894408.17880296,736759184.0639018,0.0,0.0,0.009748302384402304
