A.0_ID flood wave shape,A.1_Bmax,A.1_Brate,A.1_pfail,A.2_Bmax,A.2_Brate,A.2_pfail,A.3_Bmax,A.3_Brate,A.3_pfail,A.4_Bmax,A.4_Brate,A.4_pfail,A.5_Bmax,A.5_Brate,A.5_pfail,discount rate 0,discount rate 1,discount rate 2,0_RfR 0,0_RfR 1,0_RfR 2,1_RfR 0,1_RfR 1,1_RfR 2,2_RfR 0,2_RfR 1,2_RfR 2,3_RfR 0,3_RfR 1,3_RfR 2,4_RfR 0,4_RfR 1,4_RfR 2,EWS_DaysToThreat,A.1_DikeIncrease 0,A.1_DikeIncrease 1,A.1_DikeIncrease 2,A.2_DikeIncrease 0,A.2_DikeIncrease 1,A.2_DikeIncrease 2,A.3_DikeIncrease 0,A.3_DikeIncrease 1,A.3_DikeIncrease 2,A.4_DikeIncrease 0,A.4_DikeIncrease 1,A.4_DikeIncrease 2,A.5_DikeIncrease 0,A.5_DikeIncrease 1,A.5_DikeIncrease 2,scenario,policy,model,Expected Annual Damage,Dike Investment Costs,RfR Investment Costs,Evacuation Costs,Expected Number of Deaths
112.0,263.51912064034497,1.5,0.35761250927621707,206.457448924362,1.5,0.3431945461805971,35.47952966450658,1.5,0.2249043908580009,191.70877381230326,1.0,0.8930369466329088,216.2890592116403,1.0,0.11182128602166107,1.5,3.5,2.5,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,policy_rfr0,dikesnet,779924457.618221,0,538900000.0,0.0,0.851608063082603
32.0,134.33120790554676,1.5,0.5340346830155159,80.80444936065663,10,0.5388485523269207,228.5792748964279,1.5,0.8342808857465516,214.13563049284835,10,0.8896715701191333,252.78297047600714,10,0.18296202668195333,1.5,1.5,2.5,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,policy_rfr0,dikesnet,296363250.4685318,0,538900000.0,0.0,0.2145122902275283
42.0,253.86666673203484,1.5,0.05104942368532519,306.05099908863457,1.0,0.038336587376513506,123.07427829521964,1.5,0.5848111223352913,167.9163733862979,1.5,0.23493491134713046,165.65800970665632,10,0.42452265968406944,1.5,2.5,2.5,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,policy_rfr0,dikesnet,1077481722.5727932,0,538900000.0,0.0,0.787597060288189
85.0,139.23757319925576,1.0,0.7257940516757517,141.6912730106493,10,0.6015525900323493,315.3732631886628,10,0.17519096307755688,227.99851421784217,10,0.2562746218365404,52.18860775044004,1.0,0.4915618033275284,2.5,3.5,3.5,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,policy_rfr0,dikesnet,417519922.5271054,0,538900000.0,0.0,0.7329862269985709
74.0,344.30724952872623,1.0,0.12340701851929604,137.0457565704342,10,0.4912244075853734,30.624684674162708,1.5,0.05580231719419067,200.9474443277399,10,0.7792659379666866,247.73888859504592,10,0.7062208540310989,1.5,4.5,2.5,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,policy_rfr0,dikesnet,1986305193.9338868,0,538900000.0,0.0,3.158035900362856
113.0,221.25187766899984,1.5,0.6936882807336849,201.92522891441018,10,0.13194355610850686,214.32914987383623,10,0.7081673195563326,43.72201165058969,1.0,0.7427948058461427,198.65811801037927,1.5,0.9272655330049681,2.5,3.5,3.5,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,policy_rfr0,dikesnet,262625232.66071767,0,538900000.0,0.0,0.2588712339634507
91.0,260.849110931763,1.5,0.9615759707950005,228.0776222568562,1.0,0.7297180949560936,217.7359106598502,1.0,0.7503999810553289,173.50122204865468,10,0.8800245909343032,286.3505759480895,10,0.43777094512518433,4.5,4.5,1.5,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6,policy_rfr0,dikesnet,122450901.62920868,0,538900000.0,0.0,0.13593715323864947
121.0,202.46988740437584,1.5,0.5578163981156262,125.75133427467448,1.5,0.9585167002711356,228.42931878809424,1.0,0.5307759510830069,227.04021905859355,10,0.5931758755341124,39.24545521286362,10,0.5158066923143777,4.5,1.5,2.5,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7,policy_rfr0,dikesnet,82850885.44013274,0,538900000.0,0.0,0.11798916176580104
79.0,164.39963720175945,1.5,0.9826732601583337,260.7721171097847,10,0.10829751358525216,343.33597782651566,1.5,0.9720629339876362,53.56735920729086,10,0.6457491892771094,78.40643581835792,1.5,0.8710987014200894,3.5,3.5,1.5,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8,policy_rfr0,dikesnet,425751269.30104315,0,538900000.0,0.0,0.36995146380733523
89.0,254.52355483758464,10,0.09719385804890737,196.45095879606,1.5,0.10289622536528562,224.23952296224314,1.0,0.8908435896709161,240.00005887553414,1.5,0.6080566874745628,51.09066550952448,10,0.11892541430597509,1.5,2.5,2.5,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9,policy_rfr0,dikesnet,493077698.52039886,0,538900000.0,0.0,0.3783524413773871
